name;adddate;application;conscurvature;convex;density;dualbound;formats;gap;initinfeasibility;laghessianavgblocksize;laghessianmaxblocksize;laghessianminblocksize;maxcoef;mincoef;nbinvars;ncons;ncontvars;ngennlcons;ngennlfunc;nintvars;njacobiannlnz;njacobiannz;nlaghessianblocks;nlaghessiandiagnz;nlaghessiannz;nldensity;nlincons;nlinfunc;nlnz;nloperands;nnlbinvars;nnlfunc;nnlintvars;nnlsemi;nnlvars;nobjnlnz;nobjnz;npolynomcons;npolynomfunc;nquadcons;nquadfunc;nsemi;nsignomcons;nsignomfunc;nsos1;nsos2;nvars;nz;objcurvature;objsense;objtype;opabs;opcentropy;opcos;opcvpower;opdiv;operrorf;opexp;opgamma;oplog;oplog10;opmin;opmod;opmul;oppower;oprpower;opsignpower;opsin;opsqr;opsqrt;optanh;opvcpower;primalbound;probtype;references;source;sourceids
arki0018;2001-07-31;;linear;;0.4249490004079967;-2.945988687;{'gms', 'ams', 'osil', 'nl', 'py', 'mod'};inf;0.2016761159;1.0;1;1;35093.78;0.048972;0;9;9804;0;1;0;0;31858;9804;9804;9804;1.0;9;9;9804;{'log', 'mul'};0;1;0;0;9804;9804;9804;0;0;0;0;0;0;0;0;0;9804;41662;nonconcave;min;nonlinear;;;;;;;;;True;;;;True;;;;;;;;;0.01045662441;NLP;;ARKI Consulting Client Models;['other']
arki0019;2001-07-31;;linear;;0.6673202614379085;-17.54532784;{'gms', 'ams', 'osil', 'nl', 'py', 'mod'};2.849761351286284e-09;14.55;510.0;510;510;3115.602;1.545245e-09;0;2;510;0;1;0;0;511;1;510;1528;1.0;2;2;510;{'div', 'log', 'mul'};0;1;0;0;510;510;510;0;0;0;0;0;0;0;0;0;510;1021;nonconcave;min;nonlinear;;;;;True;;;;True;;;;True;;;;;;;;;-17.54532779;NLP;;ARKI Consulting Client Models;['other']
arki0020;2001-07-31;;linear;;0.6669307976756471;-67.98922126;{'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.6552476398174626;1.385558335e-13;1262.0;1262;1262;3115.602;7.26344e-10;0;2;1262;0;1;0;0;1263;1;1262;3784;1.0;2;2;1262;{'div', 'log', 'mul'};0;1;0;0;1262;1262;1262;0;0;0;0;0;0;0;0;0;1262;2525;nonconcave;min;nonlinear;;;;;True;;;;True;;;;True;;;;;;;;;-41.07495436;NLP;;ARKI Consulting Client Models;['other']
arki0021;2001-07-31;;linear;;0.6667712582365861;-113.0793317;{'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.5579506556336191;7.41167544e-13;3187.0;3187;3187;3115.602;3.439251e-10;0;2;3187;0;1;0;0;3188;1;3187;9559;1.0;2;2;3187;{'div', 'log', 'mul'};0;1;0;0;3187;3187;3187;0;0;0;0;0;0;0;0;0;3187;6375;nonconcave;min;nonlinear;;;;;True;;;;True;;;;True;;;;;;;;;-72.58210091;NLP;;ARKI Consulting Client Models;['other']
autocorr_bern20-03;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5238095238095238;-72.0;{'lp', 'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.0;0.0;10.0;10;10;8.0;1.0;20;1;1;0;0;0;20;21;2;0;36;1.0;0;1;20;set();20;1;0;0;20;0;1;0;0;1;1;0;0;0;0;0;21;22;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-72.0;MBQCP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.20.3);['POLIP']
autocorr_bern20-05;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5238095238095238;-416.0;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.0;0.0;20.0;20;20;128.0;1.0;20;1;1;0;0;0;20;21;1;0;140;1.0;0;1;20;set();20;1;0;0;20;0;1;1;1;0;0;0;0;0;0;0;21;22;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-416.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.20.5);['POLIP']
autocorr_bern20-10;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5238095238095238;-2936.0;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.0;0.0;20.0;20;20;1760.0;1.0;20;1;1;0;0;0;20;21;1;0;270;1.0;0;1;20;set();20;1;0;0;20;0;1;1;1;0;0;0;0;0;0;0;21;22;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-2936.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.20.10);['POLIP']
autocorr_bern20-15;2014-03-05;Autocorrelated Sequences;indefinite;False;0.5238095238095238;-5960.0;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.0;0.0;20.0;20;20;3036.0;1.0;20;1;1;0;0;0;20;21;1;0;350;1.0;0;1;20;set();20;1;0;0;20;0;1;1;1;0;0;0;0;0;0;0;21;22;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-5960.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.20.15);['POLIP']
autocorr_bern25-03;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5192307692307693;-92.0;{'lp', 'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.0;0.0;12.5;13;12;8.0;1.0;25;1;1;0;0;0;25;26;2;0;46;1.0;0;1;25;set();25;1;0;0;25;0;1;0;0;1;1;0;0;0;0;0;26;27;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-92.0;MBQCP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.25.3);['POLIP']
autocorr_bern25-06;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5192307692307693;-960.0;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.0;0.0;25.0;25;25;272.0;1.0;25;1;1;0;0;0;25;26;1;0;220;1.0;0;1;25;set();25;1;0;0;25;0;1;1;1;0;0;0;0;0;0;0;26;27;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-960.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.25.6);['POLIP']
autocorr_bern25-13;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5192307692307693;-8148.000008;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};9.818360309035274e-10;0.0;25.0;25;25;4288.0;1.0;25;1;1;0;0;0;25;26;1;0;444;1.0;0;1;25;set();25;1;0;0;25;0;1;1;1;0;0;0;0;0;0;0;26;27;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-8148.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.25.13);['POLIP']
autocorr_bern25-19;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5192307692307693;-17596.0;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.20158426659382683;0.0;25.0;25;25;6112.0;1.0;25;1;1;0;0;0;25;26;1;0;558;1.0;0;1;25;set();25;1;0;0;25;0;1;1;1;0;0;0;0;0;0;0;26;27;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-14644.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.25.19);['POLIP']
autocorr_bern25-25;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5192307692307693;-15290.21277;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.43381590116279073;0.0;25.0;25;25;3704.0;1.0;25;1;1;0;0;0;25;26;1;0;600;1.0;0;1;25;set();25;1;0;0;25;0;1;1;1;0;0;0;0;0;0;0;26;27;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-10664.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.25.25);['POLIP']
autocorr_bern30-04;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5161290322580645;-324.0;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.0;0.0;30.0;30;30;64.0;1.0;30;1;1;0;0;0;30;31;1;0;168;1.0;0;1;30;set();30;1;0;0;30;0;1;1;1;0;0;0;0;0;0;0;31;32;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-324.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.30.4);['POLIP']
autocorr_bern30-08;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5161290322580645;-3220.0;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.09078590785907859;0.0;30.0;30;30;800.0;1.0;30;1;1;0;0;0;30;31;1;0;364;1.0;0;1;30;set();30;1;0;0;30;0;1;1;1;0;0;0;0;0;0;0;31;32;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-2952.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.30.8);['POLIP']
autocorr_bern30-15;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5161290322580645;-23572.97101;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.4972669594766261;0.0;30.0;30;30;6888.0;1.0;30;1;1;0;0;0;30;31;1;0;630;1.0;0;1;30;set();30;1;0;0;30;0;1;1;1;0;0;0;0;0;0;0;31;32;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-15744.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.30.15);['POLIP']
autocorr_bern30-23;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5161290322580645;-72030.62861;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};1.3672482125016432;0.0;30.0;30;30;10736.0;1.0;30;1;1;0;0;0;30;31;1;0;814;1.0;0;1;30;set();30;1;0;0;30;0;1;1;1;0;0;0;0;0;0;0;31;32;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-30428.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.30.23);['POLIP']
autocorr_bern30-30;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5161290322580645;-57333.29687;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};1.5049500554875916;0.0;30.0;30;30;6768.0;1.0;30;1;1;0;0;0;30;31;1;0;870;1.0;0;1;30;set();30;1;0;0;30;0;1;1;1;0;0;0;0;0;0;0;31;32;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-22888.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.30.30);['POLIP']
autocorr_bern35-04;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5138888888888888;-384.0;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.0;0.0;35.0;35;35;64.0;1.0;35;1;1;0;0;0;35;36;1;0;198;1.0;0;1;35;set();35;1;0;0;35;0;1;1;1;0;0;0;0;0;0;0;36;37;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-384.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.35.4);['POLIP']
autocorr_bern35-09;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5138888888888888;-6790.299859;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.32934609612372745;0.0;35.0;35;35;1216.0;1.0;35;1;1;0;0;0;35;36;1;0;488;1.0;0;1;35;set();35;1;0;0;35;0;1;1;1;0;0;0;0;0;0;0;36;37;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-5108.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.35.9);['POLIP']
autocorr_bern35-18;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5138888888888888;-76152.0;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};1.4439024390243902;0.0;35.0;35;35;12480.0;1.0;35;1;1;0;0;0;35;36;1;0;884;1.0;0;1;35;set();35;1;0;0;35;0;1;1;1;0;0;0;0;0;0;0;36;37;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-31160.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.35.18);['POLIP']
autocorr_bern35-26;2014-02-26;Autocorrelated Sequences;indefinite;False;0.5138888888888888;-191466.0;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};2.4630661264650557;0.0;35.0;35;35;17456.0;1.0;35;1;1;0;0;0;35;36;1;0;1100;1.0;0;1;35;set();35;1;0;0;35;0;1;1;1;0;0;0;0;0;0;0;36;37;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-55288.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.35.26);['POLIP']
autocorr_bern35-35fix;2018-12-08;Autocorrelated Sequences;indefinite;False;0.5138888888888888;-253177.1182;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};5.164827072172981;0.0;35.0;35;35;10520.0;1.0;35;1;1;0;0;0;35;36;1;0;1190;1.0;0;1;35;set();35;1;0;0;35;0;1;1;1;0;0;0;0;0;0;0;36;37;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;-41068.0;MBNLP;['LiersMarinariPagaczEtal2010'];POLIP(autocorrelated_sequences/bernasconi.35.35);['POLIP']
